,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
14, U11599,"            $23,000          ","             $22,000          ", JN1AZ4FH7CM370599,Nissan 370Z Touring RWD,2012, RWD, Premium Unleaded V-6 3.7 L/226, Graphite Shadow, 30 MPG                                          |                              CITY, Graphite," 48,822", 7-Speed Automatic w/OD,"Rocklin, CA        "
15, U11572,"            $25,000          ","             $23,995          ", WA1ECCFS7HR002644,Audi Q3 Premium AWD,2017, FWD, Regular Unleaded V-6 3.5 L/211, Gray, 31 MPG                                          |                              CITY, Beige," 40,071", 6-Speed Automatic w/OD,"Rocklin, CA        "
16, U11598,"            $28,000          ","             $27,000          ", 1GKS2BKC3GR286863,GMC Yukon SLT 4WD,2016, RWD, Gas V6 3.7L/, Gun Metallic, 25 MPG                                          |                              CITY, Black," 40,674", 7-Speed Automatic w/OD,"Rocklin, CA        "
17, U11568,"            $30,000          ","             $29,500          ", 1FA6P8CF9F5339393,Ford Mustang MUSTANG GT RWD,2015, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Gray, 28 MPG                                          |                              CITY, Black," 41,048", 6-Speed Automatic w/OD,"Rocklin, CA        "
0, U11526,"            $38,718          ","             $35,995          ", 58ABK1GG5JU106423,Lexus ES ES 350 FWD,2018, FWD, Regular Unleaded V-6 3.5 L/211, White, 30 MPG                                          |                              CITY, Beige," 10,420", 6-Speed Automatic w/OD,"Rocklin, CA        "
1, U11616,"            $37,000          ","             $36,000          ", 5FRYD4H82HB029519,Acura MDX w/Advance Pkg AWD,2017, AWD, Premium Unleaded V-6 3.5 L/212, White, 26 MPG                                          |                              CITY, Beige," 43,516", 9-Speed Automatic w/OD,"Rocklin, CA        "
2, U11584,"            $41,995          ","             $39,990          ", WP0AA2A87FK161430,Porsche Cayman CAYMEN RWD,2015, RWD, Premium Unleaded H-6 2.7 L/165, GT Silver Metallic, 30 MPG                                          |                              CITY, Black," 35,241",,"Rocklin, CA        "
3, U11522,"            $48,116          ","             $46,000          ", WDYPF1CD5KT003399,Freightliner Sprinter Cargo Van F2CA76,2019, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARCTIC WHITE,, Black, 253, 7-Speed Automatic w/OD,"Rocklin, CA        "
4, U11361,"            $53,240          ","             $50,989          ", WDRPF1CD2KT000813,Freightliner F2CA76 F2CA76 RWD,2019, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White, 10, 7-Speed Automatic w/OD,"Rocklin, CA        "
5, U11308,"            $53,240          ","             $51,000          ", WDRPF1CD6KT000488,Freightliner F2CA76 F2CA76 RWD,2019, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White, 10, 7-Speed Automatic w/OD,"Rocklin, CA        "
6, U11470,"            $57,000          ","             $53,500          ", SALWR2EF8GA576456,Land Rover Range Rover Sport RANGEROVER 4WD,2016, 4WD, Intercooled Supercharger Premium Unleaded V-8 5.0 L/305, Gray, 19 MPG                                          |                              CITY, Black," 32,994", 8-Speed Automatic w/OD,"Rocklin, CA        "
7, U11589,"            $59,000          ","             $56,995          ", 1G1YK3D76H5122651,Chevrolet Corvette Z51 2LT RWD,2017, RWD, Gas V8 6.2L/376, Arctic White, 26 MPG                                          |                              CITY, Adrenaline Red," 1,263", 8-Speed Automatic,"Rocklin, CA        "
8, U11611,"            $69,000          ","             $68,000          ", 1G1Y12D72K5101736,Chevrolet Corvette Grand Sport 3LT RWD,2019, RWD, Gas V8 6.2L/376, Watkins Glen Gray Metallic, 25 MPG                                          |                              CITY, Jet Black," 3,515", 8-Speed Automatic,"Rocklin, CA        "
9, U11524,"            $73,453          ","             $69,000          ", WP0AD299X8S783611,Porsche 911 911 T,2008,, Gas Flat 6-cyl 3.6L/219, Red, 23 MPG                                          |                              CITY, COCO," 26,841",,"Rocklin, CA        "
