,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
2, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cocoa Brown Metallic, 37 MPG                                          |                              CITY, Sahara Beige MB-Tex,"Rocklin, CA        "," 7,325","            $39,740          ","             $33,000          ", U11203, 7-Speed Auto-Shift Manual w/OD,2.0,Mercedes-Benz CLA 250 FWD, WDDSJ4EB8KN717667,2019
3, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARCTIC WHITE,, Black,"Rocklin, CA        ", 253,"            $48,116          ","             $46,000          ", U11522, 7-Speed Automatic w/OD,3.0,Freightliner Sprinter Cargo Van F2CA76, WDYPF1CD5KT003399,2019
4, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 10,377","            $53,637          ","             $47,700          ", U11469, 9-Speed Automatic w/OD,4.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0J4KB1JF405750,2018
5, 4WD, Intercooled Supercharger Premium Unleaded V-8 5.0 L/305, Gray, 19 MPG                                          |                              CITY, Black,"Rocklin, CA        "," 32,994","            $57,000          ","             $53,500          ", U11470, 8-Speed Automatic w/OD,5.0,Land Rover Range Rover Sport RANGEROVER 4WD, SALWR2EF8GA576456,2016
6, RWD, Premium Unleaded V-6 3.7 L/226, Graphite Shadow, 30 MPG                                          |                              CITY, Graphite,"Rocklin, CA        "," 48,822","            $23,000          ","             $19,000          ", U11507, 7-Speed Automatic w/OD,6.0,INFINITI Q50 QX50 RWD, JN1BV7AP0FM347380,2015
7, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White, 29 MPG                                          |                              CITY, Natural Beige/Black Nappa Leather,"Rocklin, CA        "," 47,270","            $45,000          ","             $41,000          ", U11511, 7-Speed Automatic w/OD,7.0,Mercedes-Benz E 400 Sport RWD, WDDKK6FF8HF351013,2017
8, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 31 MPG                                          |                              CITY, Crystal Grey MB-Tex,"Rocklin, CA        "," 20,649","            $36,995          ","             $33,995          ", U11516, 7-Speed Automatic w/OD,8.0,Mercedes-Benz C 300 AWD 4MATIC®, 55SWF4KB0HU206767,2017
9, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 27 MPG                                          |                              CITY, Black Nappa Leather,"Rocklin, CA        "," 13,998","            $55,995          ","             $52,000          ", U11517, 7-Speed Automatic w/OD,9.0,Mercedes-Benz SL 400 RWD, WDDJK6FA5FF033962,2015
10, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 8,649","            $49,485          ","             $43,995          ", U11519, 9-Speed Automatic w/OD,10.0,Mercedes-Benz GLC 300 RWD, WDC0G4JB4KV151037,2019
11, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 8,633","            $46,525          ","             $42,600          ", U11520, 9-Speed Automatic w/OD,11.0,Mercedes-Benz GLC 300 RWD, WDC0G4JB0KV144036,2019
12, RWD, Premium Unleaded V-6 3.5 L/213, Steel Grey Metallic, 29 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 35,007","            $31,995          ","             $29,995          ", U11518, 7-Speed Automatic w/OD,12.0,Mercedes-Benz E 350 Sport RWD, WDDHF5KB5GB196339,2016
13, RWD, Premium Unleaded V-6 3.5 L/213, designo Cardinal Red Metallic, 29 MPG                                          |                              CITY, Sahara Beige Leather,"Rocklin, CA        "," 21,939","            $41,000          ","             $36,895          ", U11510, 7-Speed Automatic w/OD,13.0,Mercedes-Benz SLK 350 Sport RWD, WDDPK5HA2GF124786,2016
14,, Gas Flat 6-cyl 3.6L/219, Red, 23 MPG                                          |                              CITY, COCO,"Rocklin, CA        "," 26,841","            $73,453          ","             $69,000          ", U11524,,14.0,Porsche 911 911 T, WP0AD299X8S783611,2008
15, FWD, Regular Unleaded V-6 3.5 L/211, White, 30 MPG                                          |                              CITY, Beige,"Rocklin, CA        "," 10,420","            $38,718          ","             $35,995          ", U11526, 6-Speed Automatic w/OD,15.0,Lexus ES ES 350 FWD, 58ABK1GG5JU106423,2018
